ph,temperature,turbidity,fish
7.42,24.04,3.18,tilapia
7.53,23.73,3.15,tilapia
7.4,24.05,3.27,tilapia
7.44,24.06,3.51,tilapia
7.49,24.08,3.35,tilapia
7.44,24.62,3.21,tilapia
7.53,24.23,3.27,tilapia
7.53,24.07,3.02,tilapia
7.48,23.82,3.21,tilapia
7.43,24.34,3.62,tilapia
7.55,24.38,3.23,tilapia
7.47,23.77,3.43,tilapia
7.51,23.98,3.56,tilapia
7.52,23.75,3.16,tilapia
7.53,24.31,3.41,tilapia
7.59,24.49,3.39,tilapia
7.46,23.61,3.22,tilapia
7.54,24.55,3.38,tilapia
7.56,23.93,3.42,tilapia
7.54,23.41,3.22,tilapia
7.55,24.08,3.06,tilapia
7.38,23.89,3.29,tilapia
7.46,24.04,3.4,tilapia
7.53,23.29,3.04,tilapia
7.48,24.17,3.4,tilapia
7.52,23.88,3.23,tilapia
7.46,24.23,3.12,tilapia
7.54,24.06,3.29,tilapia
7.8,25.0,3.4,tilapia
7.77,24.59,3.27,tilapia
7.78,24.29,3.36,tilapia
7.85,25.17,3.3,tilapia
7.8,24.83,3.43,tilapia
7.88,25.29,3.5,tilapia
7.78,25.22,3.06,tilapia
7.79,25.18,3.55,tilapia
7.83,25.09,3.36,tilapia
7.83,24.71,3.23,tilapia
7.8,25.05,3.03,tilapia
7.82,25.23,3.38,tilapia
7.92,24.8,3.33,tilapia
7.78,24.98,3.33,tilapia
7.73,24.84,3.38,tilapia
7.86,25.66,3.67,tilapia
7.76,24.79,3.37,tilapia
7.89,24.95,3.13,tilapia
7.77,25.23,3.54,tilapia
7.79,25.21,2.95,tilapia
7.81,25.26,3.23,tilapia
7.76,24.44,3.72,tilapia
7.76,25.07,3.52,tilapia
7.88,24.95,3.29,tilapia
7.81,25.39,3.37,tilapia
7.75,24.54,3.16,tilapia
7.84,24.9,3.28,tilapia
7.76,25.03,3.35,tilapia
7.79,25.4,3.71,tilapia
7.72,25.1,3.24,tilapia
7.79,25.09,3.36,tilapia
7.81,25.2,3.46,tilapia
7.77,24.81,3.11,tilapia
7.76,25.59,3.24,tilapia
7.74,25.1,3.38,tilapia
7.79,25.42,3.51,tilapia
7.77,24.87,3.3,tilapia
7.84,24.91,3.04,tilapia
7.8,24.54,3.84,tilapia
7.75,24.95,3.45,tilapia
7.79,24.91,3.48,tilapia
7.88,25.23,3.7,tilapia
7.75,25.1,3.43,tilapia
7.82,25.41,3.36,tilapia
7.78,25.16,3.04,tilapia
7.79,24.96,3.22,tilapia
7.85,24.68,3.37,tilapia
7.81,25.41,3.4,tilapia
7.85,25.21,3.42,tilapia
7.75,24.57,3.42,tilapia
7.9,26.0,3.5,tilapia
7.87,26.28,3.65,tilapia
7.89,25.65,3.6,tilapia
7.85,25.77,3.3,tilapia
7.89,26.35,3.5,tilapia
7.88,25.54,3.61,tilapia
7.86,26.04,3.43,tilapia
7.94,25.95,3.49,tilapia
7.92,26.63,3.68,tilapia
7.9,26.0,3.4,tilapia
7.85,25.83,3.35,tilapia
7.93,25.68,3.77,tilapia
7.94,26.01,3.5,tilapia
7.87,26.08,3.72,tilapia
7.86,25.54,3.64,tilapia
7.92,25.66,3.35,tilapia
7.86,25.78,3.44,tilapia
7.89,25.8,3.35,tilapia
7.89,26.05,3.44,tilapia
7.96,26.15,3.18,tilapia
7.93,26.18,3.41,tilapia
7.83,26.0,3.5,tilapia
7.84,25.56,3.48,tilapia
7.89,25.87,3.48,tilapia
7.84,25.87,3.61,tilapia
7.88,25.5,3.41,tilapia
7.85,26.08,3.56,tilapia
7.82,26.23,3.28,tilapia
7.98,25.99,3.25,tilapia
7.84,26.1,3.42,tilapia
7.9,26.48,3.36,tilapia
7.9,26.43,3.55,tilapia
7.82,26.15,3.27,tilapia
7.97,25.75,4.09,tilapia
7.97,25.76,3.5,tilapia
7.94,26.24,3.59,tilapia
7.96,25.96,3.43,tilapia
7.88,26.26,3.57,tilapia
7.91,26.24,3.09,tilapia
7.92,26.07,3.83,tilapia
7.82,26.47,3.52,tilapia
7.92,26.5,3.61,tilapia
7.92,26.07,3.4,tilapia
7.9,25.79,3.49,tilapia
7.78,26.13,3.48,tilapia
7.88,26.07,3.21,tilapia
8.0,25.97,3.47,tilapia
7.85,26.01,3.78,tilapia
7.95,26.26,3.61,tilapia
7.88,25.56,3.46,tilapia
8.0,26.0,3.6,tilapia
7.99,26.31,3.66,tilapia
8.08,26.36,3.51,tilapia
7.91,26.42,3.87,tilapia
7.93,26.45,3.68,tilapia
8.01,26.48,3.87,tilapia
8.03,26.14,3.72,tilapia
7.98,25.98,3.42,tilapia
7.98,25.89,3.47,tilapia
8.01,25.9,3.7,tilapia
7.92,25.97,3.63,tilapia
7.98,25.95,3.28,tilapia
8.02,26.19,3.7,tilapia
8.05,26.06,3.7,tilapia
8.01,26.21,3.28,tilapia
7.96,26.48,3.11,tilapia
7.99,26.35,3.58,tilapia
7.98,26.04,3.53,tilapia
8.0,25.79,3.82,tilapia
8.07,25.96,3.32,tilapia
7.97,25.94,3.7,tilapia
7.95,25.77,3.7,tilapia
8.05,25.81,3.33,tilapia
8.16,26.23,3.55,tilapia
8.04,25.96,3.77,tilapia
8.01,26.03,3.58,tilapia
7.93,26.58,3.41,tilapia
7.93,25.94,3.41,tilapia
8.0,26.21,3.8,tilapia
8.04,25.91,3.61,tilapia
8.02,25.47,3.71,tilapia
7.93,26.61,3.52,tilapia
7.99,25.77,3.47,tilapia
8.11,26.28,3.29,tilapia
8.08,26.36,3.54,tilapia
8.02,26.0,3.99,tilapia
7.96,26.04,3.51,tilapia
7.93,26.66,3.36,tilapia
8.01,25.48,3.52,tilapia
8.02,25.75,3.72,tilapia
7.99,26.35,3.87,tilapia
7.97,26.02,3.64,tilapia
8.03,26.0,3.64,tilapia
7.99,26.03,3.86,tilapia
8.03,26.21,3.74,tilapia
7.99,26.1,3.38,tilapia
8.06,25.17,3.58,tilapia
8.06,25.59,3.68,tilapia
7.97,25.89,3.79,tilapia
8.01,25.39,3.4,tilapia
7.0,30.0,4.0,pangas
7.05,30.13,4.35,pangas
7.08,29.9,4.5,pangas
7.0,29.71,3.87,pangas
6.89,30.48,4.32,pangas
6.95,29.93,4.02,pangas
6.95,29.47,3.96,pangas
6.98,29.88,4.04,pangas
7.07,29.91,4.03,pangas
7.04,30.17,3.88,pangas
7.0,30.16,3.77,pangas
7.06,30.43,3.86,pangas
7.01,30.19,3.89,pangas
7.02,30.05,3.71,pangas
7.02,29.67,4.19,pangas
6.97,29.95,4.27,pangas
7.02,29.68,3.8,pangas
6.97,30.12,4.07,pangas
6.96,29.65,4.06,pangas
6.99,30.65,4.01,pangas
7.09,29.65,3.69,pangas
6.94,30.36,4.35,pangas
6.96,29.86,3.77,pangas
6.91,30.22,4.04,pangas
7.0,29.58,4.33,pangas
6.97,30.16,3.71,pangas
6.99,30.09,4.07,pangas
7.01,30.15,3.77,pangas
7.01,30.03,4.05,pangas
7.0,29.62,3.74,pangas
6.89,30.25,4.17,pangas
7.04,30.09,3.57,pangas
6.95,30.05,4.03,pangas
6.99,30.11,4.0,pangas
7.01,29.81,4.2,pangas
6.98,29.6,3.85,pangas
6.98,30.3,3.99,pangas
6.99,29.63,4.16,pangas
6.97,29.97,4.3,pangas
7.03,29.51,3.65,pangas
7.0,29.64,4.13,pangas
7.0,30.05,3.86,pangas
7.09,30.85,3.94,pangas
7.02,30.03,3.95,pangas
6.96,29.67,3.77,pangas
7.02,29.84,3.48,pangas
7.02,29.99,4.27,pangas
7.02,29.56,3.55,pangas
6.96,29.81,4.19,pangas
7.0,30.34,3.74,pangas
8.2,24.0,3.7,tilapia
8.25,24.22,3.3,tilapia
8.27,24.03,3.78,tilapia
8.16,24.38,3.46,tilapia
8.24,24.25,3.51,tilapia
8.3,24.07,3.83,tilapia
8.12,24.64,3.46,tilapia
8.25,23.7,3.58,tilapia
8.24,24.31,3.45,tilapia
8.25,24.31,3.51,tilapia
8.28,23.56,3.58,tilapia
8.22,23.74,3.75,tilapia
8.21,23.94,3.87,tilapia
8.19,24.07,3.93,tilapia
8.24,24.24,3.47,tilapia
8.23,23.74,3.44,tilapia
8.2,23.73,3.86,tilapia
8.24,23.43,3.53,tilapia
8.13,23.86,3.79,tilapia
8.19,23.82,3.96,tilapia
8.08,24.37,3.59,tilapia
8.2,23.84,4.01,tilapia
8.14,24.0,3.81,tilapia
8.12,23.72,3.67,tilapia
8.16,23.76,3.63,tilapia
8.23,23.9,3.92,tilapia
8.15,23.62,4.09,tilapia
8.17,23.61,3.35,tilapia
8.25,23.9,3.65,tilapia
8.19,24.3,3.66,tilapia
8.32,24.04,3.91,tilapia
8.24,23.99,3.58,tilapia
8.22,24.15,3.59,tilapia
8.21,24.37,4.11,tilapia
8.24,24.56,3.57,tilapia
8.24,24.4,3.52,tilapia
8.18,24.52,3.5,tilapia
8.13,24.46,3.94,tilapia
8.22,23.99,3.61,tilapia
8.21,24.47,3.75,tilapia
8.31,23.73,3.7,tilapia
8.18,23.67,3.67,tilapia
8.22,24.16,4.13,tilapia
8.22,24.35,3.71,tilapia
8.28,24.72,3.81,tilapia
8.15,23.84,3.76,tilapia
8.22,24.21,3.79,tilapia
8.2,23.81,3.78,tilapia
8.29,24.31,3.81,tilapia
8.25,23.89,3.6,tilapia
8.3,25.0,3.8,tilapia
8.26,24.96,3.72,tilapia
8.36,24.86,3.64,tilapia
8.4,24.86,3.83,tilapia
8.32,24.66,4.05,tilapia
8.33,25.47,3.66,tilapia
8.3,25.01,3.85,tilapia
8.23,25.03,3.51,tilapia
8.32,24.36,3.43,tilapia
8.34,24.84,3.6,tilapia
8.36,25.1,3.97,tilapia
8.29,25.8,3.68,tilapia
8.39,24.98,3.47,tilapia
8.32,25.09,3.59,tilapia
8.25,24.99,3.87,tilapia
8.18,25.32,3.7,tilapia
8.23,25.28,3.8,tilapia
8.36,25.13,3.8,tilapia
8.29,25.14,3.72,tilapia
8.26,25.18,3.77,tilapia
8.3,25.33,3.78,tilapia
8.3,24.82,3.89,tilapia
8.32,25.27,3.68,tilapia
8.28,25.24,3.85,tilapia
8.25,25.39,3.46,tilapia
8.34,24.62,4.18,tilapia
8.22,25.35,3.78,tilapia
8.28,25.06,3.93,tilapia
8.25,24.76,3.93,tilapia
8.21,24.82,4.41,tilapia
8.25,25.34,3.68,tilapia
8.33,25.2,4.03,tilapia
8.29,25.6,3.68,tilapia
8.31,25.07,3.58,tilapia
8.29,25.05,3.71,tilapia
8.42,24.75,4.04,tilapia
8.34,25.0,3.63,tilapia
8.26,24.84,3.44,tilapia
8.25,24.56,4.07,tilapia
8.33,25.24,3.92,tilapia
8.31,25.44,3.68,tilapia
8.31,25.22,3.54,tilapia
8.45,25.01,3.83,tilapia
8.36,25.27,3.81,tilapia
8.31,24.55,3.69,tilapia
8.33,25.13,4.04,tilapia
8.29,24.58,4.01,tilapia
8.37,25.27,3.77,tilapia
8.35,26.03,3.82,tilapia
8.23,24.82,3.93,tilapia
7.2,26.0,3.9,tilapia
7.12,26.05,3.98,tilapia
7.28,26.39,4.07,tilapia
7.09,26.28,4.04,tilapia
7.21,25.48,3.74,tilapia
7.14,25.4,3.9,tilapia
7.16,26.79,3.87,tilapia
7.26,25.53,3.79,tilapia
7.2,25.73,3.82,tilapia
7.19,25.93,4.27,tilapia
7.22,26.14,4.01,tilapia
7.23,25.98,3.84,tilapia
7.21,26.35,4.13,tilapia
7.19,26.23,3.86,tilapia
7.2,25.86,3.86,tilapia
7.27,26.03,3.93,tilapia
7.13,25.91,3.85,tilapia
7.16,26.01,3.81,tilapia
7.2,26.04,3.71,tilapia
7.18,26.02,4.14,tilapia
7.21,25.8,3.98,tilapia
7.29,26.28,4.01,tilapia
7.24,26.43,4.12,tilapia
7.23,26.32,3.68,tilapia
7.12,26.05,3.91,tilapia
7.17,26.25,3.53,tilapia
7.17,25.85,3.57,tilapia
7.27,25.59,3.78,tilapia
7.25,26.19,3.68,tilapia
7.23,26.09,4.37,tilapia
7.22,25.96,3.73,tilapia
7.16,25.75,4.17,tilapia
7.2,26.17,4.2,tilapia
7.08,26.38,3.91,tilapia
7.22,25.75,3.75,tilapia
7.22,26.72,4.1,tilapia
7.26,25.94,3.78,tilapia
7.16,25.85,3.49,tilapia
7.16,25.83,3.86,tilapia
7.21,26.11,3.9,tilapia
7.17,25.41,3.78,tilapia
7.15,26.14,4.08,tilapia
7.25,26.23,3.87,tilapia
7.17,25.78,3.6,tilapia
7.25,25.95,3.65,tilapia
7.16,25.74,3.91,tilapia
7.25,25.9,3.45,tilapia
7.19,25.95,3.86,tilapia
7.17,26.07,3.91,tilapia
7.2,26.12,3.81,tilapia
7.4,26.0,3.0,tilapia
7.38,26.41,3.11,tilapia
7.44,26.37,3.11,tilapia
7.45,25.53,3.04,tilapia
7.39,26.5,3.19,tilapia
7.37,26.11,3.03,tilapia
7.42,25.69,3.07,tilapia
7.39,26.08,2.86,tilapia
7.37,26.35,2.79,tilapia
7.35,25.98,2.85,tilapia
7.36,26.03,2.7,tilapia
7.35,26.62,3.09,tilapia
7.36,26.13,3.11,tilapia
7.45,25.96,3.2,tilapia
7.3,25.68,3.03,tilapia
7.42,25.73,3.05,tilapia
7.37,25.92,3.2,tilapia
7.45,25.7,2.79,tilapia
7.38,25.99,2.87,tilapia
7.45,26.1,3.08,tilapia
7.34,26.35,2.44,tilapia
7.44,26.28,2.91,tilapia
7.46,25.98,3.01,tilapia
7.42,26.96,3.27,tilapia
7.44,25.73,3.03,tilapia
7.36,26.25,3.03,tilapia
7.34,26.02,2.83,tilapia
7.41,25.74,3.01,tilapia
7.44,25.98,2.92,tilapia
7.41,26.21,2.78,tilapia
7.41,26.4,3.11,tilapia
7.4,26.19,3.09,tilapia
7.44,25.39,2.69,tilapia
7.45,25.55,3.08,tilapia
7.38,25.7,3.07,tilapia
7.41,26.63,2.88,tilapia
7.47,26.11,2.87,tilapia
7.44,26.17,3.01,tilapia
7.41,25.82,2.83,tilapia
7.44,25.93,2.98,tilapia
7.41,26.08,2.71,tilapia
7.46,26.04,2.96,tilapia
7.42,26.07,3.15,tilapia
7.43,26.22,3.27,tilapia
7.44,25.95,2.78,tilapia
7.48,25.93,2.91,tilapia
7.31,26.1,3.03,tilapia
7.32,26.14,2.9,tilapia
7.53,25.83,2.91,tilapia
7.36,26.38,2.93,tilapia
8.9,27.0,3.0,tilapia
8.86,27.21,2.72,tilapia
8.93,27.53,3.11,tilapia
8.93,27.26,3.34,tilapia
8.96,27.13,3.18,tilapia
8.86,27.23,2.8,tilapia
8.88,26.08,3.08,tilapia
8.87,27.33,3.08,tilapia
8.96,26.67,3.21,tilapia
9.01,27.23,3.16,tilapia
8.91,26.84,3.15,tilapia
8.82,26.87,2.65,tilapia
8.86,27.19,3.1,tilapia
8.9,27.05,2.62,tilapia
8.88,26.8,2.87,tilapia
8.93,26.74,2.88,tilapia
8.8,26.91,2.78,tilapia
8.9,26.71,3.02,tilapia
8.89,27.5,3.1,tilapia
8.81,26.62,3.01,tilapia
8.85,26.11,3.27,tilapia
8.94,27.16,2.88,tilapia
8.92,26.79,3.04,tilapia
8.85,27.45,2.69,tilapia
8.96,27.01,2.9,tilapia
8.91,27.22,3.27,tilapia
8.92,26.73,3.01,tilapia
8.99,27.4,3.18,tilapia
8.94,27.21,3.23,tilapia
8.88,26.59,3.01,tilapia
8.86,26.68,2.86,tilapia
9.02,27.04,3.07,tilapia
8.84,26.45,2.84,tilapia
8.97,27.1,3.12,tilapia
8.94,26.82,3.28,tilapia
8.87,27.42,3.09,tilapia
8.81,26.78,2.64,tilapia
8.96,26.99,2.55,tilapia
8.92,26.84,2.7,tilapia
8.98,27.03,2.94,tilapia
8.88,26.55,2.74,tilapia
8.96,26.86,3.0,tilapia
8.8,26.6,3.12,tilapia
8.92,27.53,3.27,tilapia
8.89,27.14,2.94,tilapia
9.0,27.34,3.03,tilapia
8.91,27.43,3.12,tilapia
8.98,26.34,3.09,tilapia
8.87,27.53,3.31,tilapia
8.9,27.46,3.36,tilapia
9.0,28.0,3.3,tilapia
9.0,28.74,3.29,tilapia
8.99,28.26,3.23,tilapia
9.0,28.42,3.3,tilapia
8.92,28.11,3.16,tilapia
9.04,28.21,3.59,tilapia
9.05,28.33,3.17,tilapia
9.04,28.59,3.16,tilapia
9.09,27.84,3.13,tilapia
9.01,28.21,3.48,tilapia
8.95,28.13,3.16,tilapia
8.93,27.72,3.15,tilapia
9.03,28.35,3.01,tilapia
9.02,27.65,3.43,tilapia
8.97,27.68,3.46,tilapia
8.97,27.91,2.86,tilapia
9.05,28.25,3.3,tilapia
8.92,28.36,3.17,tilapia
8.98,28.69,3.16,tilapia
9.04,28.17,3.38,tilapia
9.01,28.11,3.35,tilapia
9.0,28.45,3.04,tilapia
9.05,28.25,3.44,tilapia
9.06,27.97,2.93,tilapia
9.0,27.7,3.15,tilapia
8.94,27.86,3.18,tilapia
8.88,28.21,3.74,tilapia
9.03,27.94,3.29,tilapia
8.98,28.03,3.29,tilapia
8.96,28.5,3.0,tilapia
9.04,27.97,3.68,tilapia
9.02,27.89,3.25,tilapia
9.0,27.66,3.15,tilapia
8.91,27.72,3.32,tilapia
9.02,27.41,3.27,tilapia
9.03,27.95,3.17,tilapia
8.98,27.84,3.17,tilapia
9.01,28.69,3.15,tilapia
8.98,27.98,3.16,tilapia
9.05,27.29,3.19,tilapia
9.04,27.91,3.14,tilapia
9.02,28.27,3.34,tilapia
8.96,28.14,3.22,tilapia
9.04,28.44,2.78,tilapia
9.01,27.48,3.79,tilapia
8.98,28.22,3.29,tilapia
8.96,27.72,3.62,tilapia
9.05,28.58,3.31,tilapia
9.01,27.92,3.24,tilapia
8.95,28.03,3.14,tilapia
7.4,31.0,3.0,pangas
7.42,31.05,3.06,pangas
7.48,30.99,3.15,pangas
7.5,31.39,3.23,pangas
7.38,31.07,2.74,pangas
7.42,31.08,3.0,pangas
7.45,30.64,3.33,pangas
7.45,30.98,2.97,pangas
7.42,31.46,3.02,pangas
7.41,31.01,3.36,pangas
7.38,30.99,3.29,pangas
7.41,31.34,2.82,pangas
7.39,31.45,2.86,pangas
7.39,31.08,2.8,pangas
7.38,31.03,3.01,pangas
7.46,31.46,2.83,pangas
7.41,31.2,3.3,pangas
7.44,31.09,3.13,pangas
7.43,30.72,3.04,pangas
7.47,30.94,3.03,pangas
7.39,30.31,3.0,pangas
7.42,30.85,2.77,pangas
7.36,31.23,3.39,pangas
7.47,30.6,3.17,pangas
7.37,30.83,2.91,pangas
7.44,31.29,2.98,pangas
7.4,31.14,3.11,pangas
7.46,30.61,3.0,pangas
7.35,30.98,2.95,pangas
7.4,30.76,2.7,pangas
7.3,30.96,2.91,pangas
7.37,31.4,2.83,pangas
7.47,31.49,2.61,pangas
7.4,30.88,2.42,pangas
7.33,31.23,3.4,pangas
7.45,31.1,3.0,pangas
7.48,31.64,2.88,pangas
7.3,30.37,3.26,pangas
7.4,31.05,2.64,pangas
7.36,30.91,3.04,pangas
7.38,30.69,2.84,pangas
7.46,31.07,3.12,pangas
7.36,30.11,2.9,pangas
7.36,31.1,3.66,pangas
7.43,31.82,3.11,pangas
7.37,31.1,3.36,pangas
7.49,30.83,3.05,pangas
7.33,31.25,3.31,pangas
7.4,30.8,3.07,pangas
7.42,31.02,3.04,pangas
7.3,25.0,2.0,pangas
7.29,25.3,2.15,pangas
7.25,24.7,1.95,pangas
7.34,25.04,1.87,pangas
7.31,24.9,2.18,pangas
7.32,24.91,2.05,pangas
7.37,24.83,2.08,pangas
7.3,25.13,1.87,pangas
7.31,25.33,1.81,pangas
7.23,24.61,1.77,pangas
7.33,24.58,1.94,pangas
7.33,25.12,1.92,pangas
7.31,25.03,1.96,pangas
7.29,25.67,2.16,pangas
7.42,24.85,1.98,pangas
7.23,24.76,2.38,pangas
7.27,25.58,1.75,pangas
7.25,24.9,1.99,pangas
7.35,25.14,1.92,pangas
7.29,24.9,1.82,pangas
7.26,25.31,1.63,pangas
7.38,24.9,1.85,pangas
7.34,25.45,2.22,pangas
7.33,25.33,1.66,pangas
7.27,24.73,2.24,pangas
7.28,25.25,2.11,pangas
7.26,24.82,2.26,pangas
7.26,25.04,1.84,pangas
7.28,24.99,1.84,pangas
7.25,25.09,1.83,pangas
7.26,24.72,1.98,pangas
7.35,25.45,1.85,pangas
7.41,24.7,2.22,pangas
7.26,24.74,1.85,pangas
7.3,25.17,2.13,pangas
7.25,24.7,1.82,pangas
7.29,24.94,1.81,pangas
7.31,25.68,1.9,pangas
7.28,25.17,1.89,pangas
7.33,24.78,2.37,pangas
7.32,24.81,1.88,pangas
7.27,25.41,1.75,pangas
7.27,24.83,2.0,pangas
7.29,24.55,1.92,pangas
7.3,24.81,2.14,pangas
7.35,24.98,2.05,pangas
7.19,24.87,2.2,pangas
7.28,24.78,2.46,pangas
7.39,25.14,2.23,pangas
7.19,24.76,1.91,pangas
7.5,27.0,1.0,pangas
7.49,26.85,0.49,pangas
7.52,27.16,1.32,pangas
7.46,26.74,0.46,pangas
7.49,27.27,0.88,pangas
7.61,26.92,1.03,pangas
7.43,27.09,0.6,pangas
7.53,27.22,1.27,pangas
7.45,27.05,1.11,pangas
7.52,26.74,0.52,pangas
7.52,26.95,0.89,pangas
7.54,26.99,0.74,pangas
7.4,26.66,1.48,pangas
7.54,27.06,0.96,pangas
7.49,27.35,0.9,pangas
7.53,26.9,1.39,pangas
7.54,27.37,0.88,pangas
7.55,26.91,1.02,pangas
7.58,26.69,1.04,pangas
7.52,27.16,0.91,pangas
7.6,26.61,1.29,pangas
7.56,27.57,0.68,pangas
7.46,27.45,0.62,pangas
7.42,26.85,1.04,pangas
7.58,26.94,0.88,pangas
7.52,27.14,1.09,pangas
7.49,26.41,0.82,pangas
7.57,27.06,0.94,pangas
7.56,26.66,0.95,pangas
7.51,26.87,1.02,pangas
7.49,26.58,1.04,pangas
7.43,27.05,1.27,pangas
7.49,26.65,0.97,pangas
7.46,27.18,0.97,pangas
7.59,27.35,0.97,pangas
7.54,26.88,1.01,pangas
7.48,27.23,1.29,pangas
7.54,27.28,1.18,pangas
7.53,26.66,1.34,pangas
7.59,26.93,0.93,pangas
7.53,27.17,0.96,pangas
7.44,27.09,1.11,pangas
7.54,27.1,0.95,pangas
7.55,27.02,0.91,pangas
7.49,26.48,0.96,pangas
7.53,27.1,1.3,pangas
7.49,27.15,1.16,pangas
7.62,27.04,0.79,pangas
7.54,27.56,0.94,pangas
7.54,27.37,1.2,pangas
7.2,28.0,5.0,pangas
7.21,27.79,4.98,pangas
7.22,28.27,5.07,pangas
7.18,28.17,5.17,pangas
7.22,27.75,4.96,pangas
7.25,27.59,4.58,pangas
7.28,28.15,5.12,pangas
7.15,28.22,5.06,pangas
7.12,28.43,5.03,pangas
7.18,27.89,4.6,pangas
7.23,28.08,4.96,pangas
7.26,27.58,4.88,pangas
7.16,27.92,5.01,pangas
7.22,27.9,4.82,pangas
7.28,28.72,5.03,pangas
7.16,28.44,4.71,pangas
7.18,27.79,4.77,pangas
7.19,27.74,5.0,pangas
7.2,27.81,4.93,pangas
7.19,28.24,4.97,pangas
7.24,28.18,5.11,pangas
7.27,27.66,4.91,pangas
7.29,27.92,4.44,pangas
7.19,28.04,4.48,pangas
7.27,27.79,5.07,pangas
7.19,27.61,4.79,pangas
7.15,28.33,4.97,pangas
7.17,27.72,5.24,pangas
7.27,28.36,5.1,pangas
7.21,27.64,4.95,pangas
7.17,27.45,5.21,pangas
7.17,28.36,5.18,pangas
7.23,28.18,4.88,pangas
7.29,28.01,5.06,pangas
7.17,27.72,5.1,pangas
7.21,27.76,4.71,pangas
7.14,28.36,4.88,pangas
7.18,28.44,4.78,pangas
7.16,27.77,5.32,pangas
7.3,28.23,5.16,pangas
7.17,28.58,5.05,pangas
7.24,27.97,4.95,pangas
7.28,28.16,5.29,pangas
7.21,27.75,4.88,pangas
7.21,27.81,4.78,pangas
7.26,27.84,5.03,pangas
7.21,27.82,5.29,pangas
7.14,28.08,5.05,pangas
7.2,27.61,5.17,pangas
7.24,27.8,5.14,pangas
6.5,30.0,3.8,pangas
6.52,29.62,3.63,pangas
6.56,30.09,3.69,pangas
6.46,29.85,3.71,pangas
6.46,29.48,4.03,pangas
6.55,29.62,3.83,pangas
6.45,29.92,3.73,pangas
6.48,30.6,3.71,pangas
6.46,29.77,4.01,pangas
6.42,29.77,4.09,pangas
6.51,30.06,4.23,pangas
6.51,29.79,3.74,pangas
6.44,30.38,3.91,pangas
6.56,30.36,3.72,pangas
6.45,29.98,3.63,pangas
6.51,30.34,3.77,pangas
6.51,29.97,3.96,pangas
6.47,29.34,3.89,pangas
6.55,30.13,3.67,pangas
6.44,30.15,3.83,pangas
6.49,30.55,3.61,pangas
6.59,30.01,3.43,pangas
6.49,30.29,3.73,pangas
6.43,29.95,3.63,pangas
6.52,30.23,3.59,pangas
6.46,30.23,3.63,pangas
6.45,29.65,3.87,pangas
6.52,29.79,3.8,pangas
6.58,29.71,3.41,pangas
6.52,29.97,3.66,pangas
6.53,30.25,3.36,pangas
6.47,30.7,3.92,pangas
6.53,30.35,3.8,pangas
6.54,30.22,3.91,pangas
6.48,30.05,3.68,pangas
6.5,29.65,3.64,pangas
6.49,29.72,3.7,pangas
6.49,30.12,3.99,pangas
6.48,30.4,3.99,pangas
6.53,30.05,3.86,pangas
6.56,30.37,4.07,pangas
6.5,30.17,4.07,pangas
6.47,29.9,3.8,pangas
6.54,30.27,3.75,pangas
6.42,30.07,3.62,pangas
6.43,29.62,3.87,pangas
6.57,30.01,3.84,pangas
6.56,29.54,3.9,pangas
6.5,30.17,3.7,pangas
6.46,30.04,4.13,pangas
6.8,29.0,3.7,pangas
6.84,28.85,3.43,pangas
6.72,29.39,3.51,pangas
6.78,29.4,3.38,pangas
6.87,28.92,3.47,pangas
6.79,28.78,3.79,pangas
6.77,28.43,3.66,pangas
6.73,29.06,3.46,pangas
6.78,29.05,3.66,pangas
6.81,29.2,3.47,pangas
6.8,28.0,3.75,pangas
6.78,28.7,3.76,pangas
6.86,28.86,3.51,pangas
6.81,28.6,3.57,pangas
6.86,29.02,3.32,pangas
6.71,29.05,3.87,pangas
6.72,29.13,3.97,pangas
6.89,29.1,3.8,pangas
6.69,29.63,3.58,pangas
6.75,28.92,4.0,pangas
6.91,29.04,3.9,pangas
6.8,28.69,4.0,pangas
6.77,29.46,3.96,pangas
6.83,29.55,4.15,pangas
6.79,28.76,3.33,pangas
6.91,28.87,3.93,pangas
6.76,29.46,3.56,pangas
6.74,28.94,3.59,pangas
6.83,28.98,3.83,pangas
6.79,28.8,3.58,pangas
6.9,29.07,3.3,pangas
6.77,29.03,4.07,pangas
6.85,28.72,4.18,pangas
6.8,29.37,3.47,pangas
6.68,28.58,3.05,pangas
6.91,29.06,3.52,pangas
6.82,29.06,3.82,pangas
6.86,28.91,3.52,pangas
6.84,29.24,3.72,pangas
6.91,28.87,3.52,pangas
6.82,28.8,3.8,pangas
6.76,28.88,4.08,pangas
6.78,28.76,3.93,pangas
6.75,28.79,3.82,pangas
6.85,29.37,3.55,pangas
6.83,28.86,3.58,pangas
6.86,28.84,3.76,pangas
6.81,28.68,3.89,pangas
6.83,28.4,3.76,pangas
6.76,29.33,3.41,pangas
8.5,27.0,2.5,pangas
8.48,27.11,2.51,pangas
8.54,26.54,2.83,pangas
8.53,27.41,2.67,pangas
8.5,26.61,2.39,pangas
8.58,27.42,2.38,pangas
8.36,26.94,2.44,pangas
8.49,27.16,2.68,pangas
8.55,27.13,2.14,pangas
8.48,27.69,2.57,pangas
8.52,27.11,2.58,pangas
8.38,26.93,2.49,pangas
8.56,27.01,2.17,pangas
8.52,26.76,2.26,pangas
8.46,27.16,2.75,pangas
8.52,27.19,2.59,pangas
